C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
8	8	0	0	6	10	0	0	0	0	9	1	0	4	1	4	5	5	1	15	1	4	14	135	0	0	16	4	18	1	23	9	0	6	0	3	1	0	1
18	46	3	61	0	6	3	622	0	2202	179	10	3	29	2	305	99	14	20	24	5	257	37	129	1	1	33	43	21	84	34	12	6	26	0	1174	4	6	1
65	135	140	55	2	15	6	497	13	292	51	1	3	47	14	234	171	47	17	209	38	13	35	18	1	5	220	7	68	71	37	26	14	18	1	888	2	4	1
17	47	2	3	7	3	1	25	18	52	21	4	0	3	2	30	3	77	7	18	10	19	22	42	4	3	36	91	29	0	23	12	5	12	1	8	6	0	1
20	24	1	1	0	4	17	1	0	3	18	8	1	172	1	5	2	10	7	46	8	2	68	43	9	3	19	20	74	0	60	28	3	17	0	8	0	9	1
5	14	3	1	5	6	2	22	11	23	16	3	1	72	5	18	1	195	16	19	7	30	12	93	6	0	87	1303	43	84	13	30	12	24	0	0	1	1	1
31	24	11	1	0	5	11	5	6	7	142	2	0	44	1	6	2	508	35	65	12	18	42	45	0	6	40	32	28	1	53	19	9	19	211	1	63	1	1
31	50	7	1	0	7	2	19	31	68	34	5	5	52	27	15	8	11	9	41	6	73	42	41	2	1	57	184	68	2	42	37	4	23	4	3	3	6	1
7	47	16	0	0	1	4	17	10	230	44	8	1	32	6	54	0	5	12	9	3	78	49	33	1	2	52	41	11	1	39	37	9	17	1	4	15	1	1
18	38	11	0	1	4	6	19	16	30	35	4	1	45	3	11	1	655	16	63	8	3	85	39	5	33	25	12	70	2	46	27	3	20	0	10	10	0	1
47	5	2	0	3	20	22	2	3	4	20	3	0	126	8	1	2	33	39	128	20	2	79	7	2	19	17	8	36	0	80	22	4	15	0	0	1	7	1
14	42	1	0	0	5	22	20	5	36	75	7	5	76	4	19	2	22	16	64	9	92	50	49	2	9	65	27	15	29	60	24	7	22	0	6	13	2	1
23	71	4	0	1	1	95	12	13	17	136	6	1	70	3	12	24	14	17	72	10	18	29	62	2	13	30	68	48	0	32	26	5	18	1	5	6	2	1
8	15	0	2	0	50	4	1	4	7	49	9	9	1	2	13	3	8	4	44	8	8	25	65	8	4	45	26	14	2	68	18	5	52	0	6	2	2	1
72	3	2	0	0	3	0	15	2	0	33	7	0	125	3	3	2	1	1	34	3	5	23	50	5	4	14	139	11	28	25	16	6	18	0	22	0	7	1
12	21	227	14	10	10	2	455	6	2155	1227	4	2	16	56	810	9	9	32	85	11	77	15	54	3	4	67	116	44	10	17	22	6	12	0	38	11	2	1
1	6	8	1	30	1	0	9	1	7	1	0	2	9	83	0	5	36	1	15	2	3	3	129	4	0	657	7	14	0	1	10	8	1	0	0	4	0	1
13	58	4	11	56	9	1	25	5	822	11	10	2	87	25	17	1	15	10	22	2	19	26	43	2	0	37	20	15	2	34	30	16	8	5	1	14	1	1
44	35	1	3	0	13	66	28	3	38	85	0	2	72	1	11	5	14	16	246	32	14	146	7	7	9	50	11	32	0	114	30	17	39	2	3	20	4	1
49	24	0	0	0	22	81	0	0	2	28	1	0	16	46	1	6	23	27	7	3	6	11	556	1	0	2048	17	21	0	107	28	21	13	0	3	0	4	1
