C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
0.6019	1.6413	0.0185	0.3894	0	0.1816	1.1476	0.3148	0.0653	0.1268	2.0376	0.0653	0.0342	4.5307	0	0.3761	0.0073	0.397	0.8764	3.0984	1.2315	0.0942	3.145	0.6978	0.3739	0.1906	1.5316	0.4401	1.9214	0	3.4045	1.0535	0.1232	2.1027	0	0	0.3107	0.2265	1
1.0214	1.0798	0.0051	0.3744	0.053	0.1746	0.0981	1.8362	0.0126	1.0527	10.1231	0.0314	0.0658	2.1782	0.0547	0.0938	0	0.1374	0.553	5.9024	3.2565	0.0302	3.9061	0.4224	0.1438	0.1426	0.822	0.1472	3.6951	2.3079	5.751	1.0909	0.2368	3.4052	0.3504	2.645	1.1952	0.0726	1
0.3713	0.317	0	0	0.0578	1.2186	0	0	0	0.007	11.4841	0.0342	0.2868	5.1465	0.0298	0.0292	0.0077	0.0333	0.1723	0.7356	0.1614	0.011	1.0992	1.0026	0.2352	0.0444	0.1867	0.1003	1.0849	0	1.4472	1.0196	0.3228	1.8567	0	0	0	0.0792	1
0.3568	0.0791	0.0073	0	0	1.3974	0.0467	0	0.0239	0.0061	3.8891	0.1795	0.0313	1.3836	0.3127	0.0511	0.0269	0.0436	0.0251	0.5891	0.2821	0	3.1214	0.2841	0.4795	0.0582	0.7179	1.0343	3.1144	0	2.5289	0.8909	0.5359	2.5347	0	0.4762	0	0.1729	1
1.0049	0.4307	0.0061	0.0747	0	0.9472	0.2347	0.0805	0	0.0154	0.521	0.0501	0.1049	1.5446	0.0218	0.0534	0.0282	0.0609	0.021	0.9417	0.1181	0.0027	1.2062	0.8128	0.2868	0.13	0.6831	0.3229	4.3082	0	2.8232	1.3675	0.0708	3.4805	0	0.0166	0	0.0869	1
0.4476	2.1843	0.0051	6.1538	0.6965	0.106	0.0496	11.8165	0.0127	0.1298	59.6145	0	0	5.8749	1.4108	0.0542	0	0.0154	0.2131	1.9899	0.2994	0.0068	6.1171	5.9816	0.1454	0.0206	10.6346	0.1675	4.5997	0	3.9373	1.0245	0.539	0.5381	0.1181	0.0211	0.6044	0.257	1
0.0832	1.3811	0.0149	0	0.6218	0.1195	0.012	0.0789	0.0123	0.248	1.3973	0.0921	0.1769	1.3019	0.2541	0.1638	0.0138	0.4331	0.0644	0.3574	0.2895	0.0459	1.0475	2.5155	0.0703	0.0299	2.1941	1.2327	0.417	0.0806	0.8221	0.7621	0.2172	1.1449	0	0.163	0.2435	0	1
1.2866	1.3079	0	0.0737	0	0.3024	0.1351	0.2542	1.7205	1.9708	15.6822	0	0	5.8115	0.0861	0.0316	0.395	13.1395	0.4354	4.6911	2.5637	0.0158	9.1264	0.6456	0.1132	0.3207	0.728	0.2173	1.1189	19.4672	5.6421	2.9445	0.1631	1.508	0	0	0.7057	0.0286	1
0.8864	0.1908	0.0234	1.9353	0	0.1872	0.0376	0.0155	0.0096	0.0049	15.3779	0	0.0252	4.4478	0.1466	0	3.8365	0.3858	0.0403	0.6887	0.2267	0.036	2.4121	0.4186	0.0551	0	1.2588	0.1832	1.4147	1.2623	1.2195	1.6706	0.1133	0.4889	0	0.1595	0	0.1112	1
1.1414	2.0887	0.0053	0.0981	0.0555	0.2561	0	0.3805	0.0395	0.2825	0.4277	0.1645	0.5168	3.6769	0.0287	0.2105	0.0148	0.112	0.2759	1.8847	1.3958	0.1652	0.7921	2.3952	0.0753	0.0213	2.2607	0.6554	0.7445	0	4.2641	0.4082	0.1241	0.7804	26.0657	0.0873	18.6792	0	1
